creation_source,org_id,opted_in_to_mailing_list,enabled_for_marketing_drip,was_invited,creation_dayofweek,invited_others,adopted_user
GUEST_INVITE,263,0,0,1,1,0,0
ORG_INVITE,0,0,0,1,1,4,0
GUEST_INVITE,39,0,0,1,6,0,0
GUEST_INVITE,12,1,1,1,5,0,0
SIGNUP,184,0,0,0,0,0,0
GUEST_INVITE,86,1,0,1,0,2,0
GUEST_INVITE,402,1,0,1,3,7,0
GUEST_INVITE,42,0,0,1,0,0,0
SIGNUP,103,0,0,0,5,0,0
PERSONAL_PROJECTS,373,0,0,0,2,0,0
ORG_INVITE,268,0,0,1,6,0,0
ORG_INVITE,112,1,1,1,4,0,0
SIGNUP,30,0,0,0,0,0,0
SIGNUP,53,0,1,0,3,0,0
PERSONAL_PROJECTS,193,0,0,0,0,1,0
PERSONAL_PROJECTS,406,0,0,0,1,2,0
PERSONAL_PROJECTS,48,0,0,0,3,1,0
GUEST_INVITE,263,0,0,1,3,0,0
SIGNUP,249,0,0,0,3,0,1
PERSONAL_PROJECTS,4,0,0,0,2,1,0
ORG_INVITE,313,0,0,1,3,0,1
SIGNUP_GOOGLE_AUTH,92,1,0,0,2,0,0
PERSONAL_PROJECTS,9,0,0,0,3,5,0
SIGNUP_GOOGLE_AUTH,138,0,0,0,3,0,0
ORG_INVITE,261,0,0,1,5,0,0
GUEST_INVITE,35,0,1,1,0,0,0
ORG_INVITE,264,0,0,1,2,0,1
PERSONAL_PROJECTS,95,0,0,0,0,0,0
GUEST_INVITE,325,0,0,1,5,1,0
SIGNUP,55,1,0,0,5,0,0
GUEST_INVITE,254,1,0,1,3,0,0
ORG_INVITE,60,0,0,1,2,0,1
ORG_INVITE,1,0,0,1,3,2,0
PERSONAL_PROJECTS,2,0,0,0,5,0,0
ORG_INVITE,63,0,0,1,3,3,0
SIGNUP,10,0,0,0,4,0,0
SIGNUP,11,0,0,0,4,0,0
GUEST_INVITE,234,1,1,1,1,0,0
SIGNUP,64,0,0,0,6,1,1
ORG_INVITE,28,0,0,1,1,0,0
GUEST_INVITE,410,0,0,1,6,0,0
SIGNUP,170,1,0,0,3,0,0
ORG_INVITE,118,0,0,1,5,0,0
SIGNUP,42,0,0,0,3,0,0
ORG_INVITE,374,0,0,1,6,0,0
ORG_INVITE,15,1,1,1,4,0,1
SIGNUP_GOOGLE_AUTH,17,1,0,0,0,0,0
GUEST_INVITE,15,0,0,1,2,0,0
PERSONAL_PROJECTS,1,0,0,0,1,0,0
SIGNUP,364,0,1,0,1,0,0
SIGNUP_GOOGLE_AUTH,62,0,0,0,4,1,1
PERSONAL_PROJECTS,244,1,0,0,0,0,0
PERSONAL_PROJECTS,342,1,0,0,5,0,0
ORG_INVITE,225,0,0,1,5,0,1
ORG_INVITE,88,0,0,1,1,1,0
ORG_INVITE,134,1,1,1,0,0,0
SIGNUP,121,0,0,0,5,0,0
ORG_INVITE,255,0,0,1,6,0,1
PERSONAL_PROJECTS,7,1,0,0,3,0,0
GUEST_INVITE,411,0,0,1,0,0,1
PERSONAL_PROJECTS,217,0,0,0,1,1,0
SIGNUP_GOOGLE_AUTH,109,0,0,0,0,0,0
PERSONAL_PROJECTS,165,0,0,0,5,0,0
ORG_INVITE,415,0,0,1,4,4,0
ORG_INVITE,11,0,0,1,6,0,0
SIGNUP,104,0,0,0,5,0,0
SIGNUP,329,0,0,0,1,1,0
ORG_INVITE,139,0,0,1,1,0,0
PERSONAL_PROJECTS,278,0,0,0,3,0,0
SIGNUP,30,0,0,0,1,0,0
GUEST_INVITE,116,0,0,1,5,0,1
ORG_INVITE,151,1,1,1,2,0,0
ORG_INVITE,290,0,0,1,2,0,0
ORG_INVITE,30,0,0,1,1,0,1
PERSONAL_PROJECTS,252,0,1,0,1,0,0
GUEST_INVITE,200,0,0,1,0,2,0
GUEST_INVITE,0,0,0,1,2,0,0
SIGNUP,187,0,0,0,2,0,0
ORG_INVITE,122,1,0,1,1,6,0
GUEST_INVITE,353,0,0,1,5,0,0
ORG_INVITE,135,0,0,1,3,0,0
GUEST_INVITE,3,0,0,1,6,0,0
GUEST_INVITE,135,1,0,1,2,4,1
ORG_INVITE,328,0,1,1,5,0,0
GUEST_INVITE,64,0,0,1,5,0,0
ORG_INVITE,107,1,1,1,5,1,1
ORG_INVITE,263,1,1,1,5,0,0
GUEST_INVITE,5,1,0,1,6,0,1
GUEST_INVITE,263,1,0,1,0,0,1
SIGNUP,36,0,0,0,6,0,0
PERSONAL_PROJECTS,0,0,0,0,3,0,0
PERSONAL_PROJECTS,13,0,1,0,1,0,0
PERSONAL_PROJECTS,341,0,0,0,4,0,0
SIGNUP,349,0,0,0,0,0,0
PERSONAL_PROJECTS,184,0,0,0,4,0,1
GUEST_INVITE,353,0,0,1,1,0,0
ORG_INVITE,1,1,0,1,1,0,0
ORG_INVITE,342,0,0,1,6,0,0
ORG_INVITE,64,1,0,1,3,0,0
GUEST_INVITE,304,0,0,1,1,0,1
SIGNUP,25,0,0,0,6,0,0
SIGNUP,15,0,0,0,5,0,0
SIGNUP_GOOGLE_AUTH,198,1,0,0,4,0,0
GUEST_INVITE,153,0,1,1,1,0,0
ORG_INVITE,303,1,0,1,4,0,0
SIGNUP_GOOGLE_AUTH,68,0,1,0,0,2,0
SIGNUP_GOOGLE_AUTH,108,0,0,0,4,0,0
SIGNUP,77,1,1,0,3,0,0
ORG_INVITE,142,0,0,1,1,0,0
SIGNUP,5,0,0,0,6,0,0
PERSONAL_PROJECTS,254,0,0,0,4,0,0
SIGNUP_GOOGLE_AUTH,81,0,0,0,0,0,0
ORG_INVITE,275,1,0,1,1,0,0
ORG_INVITE,7,1,1,1,5,0,0
ORG_INVITE,242,1,0,1,5,2,0
ORG_INVITE,278,0,0,1,2,1,1
PERSONAL_PROJECTS,176,0,0,0,3,2,0
ORG_INVITE,2,0,0,1,2,0,0
ORG_INVITE,87,0,0,1,1,0,0
SIGNUP_GOOGLE_AUTH,191,0,0,0,4,0,0
PERSONAL_PROJECTS,7,0,0,0,5,0,0
GUEST_INVITE,7,0,0,1,0,0,0
SIGNUP,8,1,1,0,5,0,0
PERSONAL_PROJECTS,49,0,0,0,5,3,0
SIGNUP,36,0,0,0,0,0,0
ORG_INVITE,102,0,0,1,5,0,0
PERSONAL_PROJECTS,245,0,0,0,1,1,0
ORG_INVITE,56,1,0,1,5,1,0
SIGNUP,7,1,0,0,6,0,0
ORG_INVITE,154,0,0,1,4,0,0
ORG_INVITE,218,0,0,1,6,0,1
SIGNUP_GOOGLE_AUTH,385,0,0,0,6,0,0
ORG_INVITE,76,0,0,1,4,0,1
GUEST_INVITE,9,0,0,1,0,0,0
GUEST_INVITE,321,0,0,1,3,0,0
SIGNUP,159,1,1,0,3,0,0
ORG_INVITE,371,0,0,1,5,0,0
ORG_INVITE,50,0,0,1,6,0,0
ORG_INVITE,75,0,1,1,4,0,0
PERSONAL_PROJECTS,11,1,0,0,1,0,0
ORG_INVITE,333,0,0,1,5,0,0
SIGNUP,137,1,0,0,3,4,0
SIGNUP,191,0,0,0,2,0,0
ORG_INVITE,278,1,1,1,0,0,0
ORG_INVITE,1,1,0,1,3,0,0
PERSONAL_PROJECTS,292,0,1,0,6,0,0
SIGNUP_GOOGLE_AUTH,75,1,0,0,6,0,0
SIGNUP,70,1,0,0,6,0,0
ORG_INVITE,89,0,0,1,2,0,1
GUEST_INVITE,286,0,0,1,2,8,0
GUEST_INVITE,131,0,0,1,6,0,1
SIGNUP_GOOGLE_AUTH,178,0,0,0,6,0,0
ORG_INVITE,213,0,0,1,3,0,0
SIGNUP,32,0,0,0,5,0,0
PERSONAL_PROJECTS,376,0,0,0,5,0,0
PERSONAL_PROJECTS,28,0,0,0,5,1,0
ORG_INVITE,1,0,0,1,3,0,0
PERSONAL_PROJECTS,366,0,0,0,4,0,0
SIGNUP,68,1,0,0,5,3,0
GUEST_INVITE,16,0,0,1,0,1,0
ORG_INVITE,192,0,0,1,6,0,1
ORG_INVITE,5,0,0,1,5,0,0
ORG_INVITE,6,0,0,1,6,0,0
ORG_INVITE,27,0,0,1,4,0,0
GUEST_INVITE,92,0,0,1,3,0,0
ORG_INVITE,300,1,0,1,1,0,1
ORG_INVITE,16,0,0,1,1,0,0
PERSONAL_PROJECTS,77,0,0,0,6,0,0
SIGNUP_GOOGLE_AUTH,316,0,0,0,5,0,1
SIGNUP,52,0,0,0,0,0,0
SIGNUP,62,0,0,0,3,0,0
ORG_INVITE,68,0,0,1,0,0,0
PERSONAL_PROJECTS,40,1,0,0,3,0,0
PERSONAL_PROJECTS,131,1,0,0,4,0,0
PERSONAL_PROJECTS,185,1,1,0,1,0,0
ORG_INVITE,254,1,0,1,2,0,0
SIGNUP,3,1,1,0,2,1,0
SIGNUP,12,0,0,0,2,0,0
GUEST_INVITE,0,0,0,1,4,0,0
ORG_INVITE,332,0,0,1,5,1,0
SIGNUP_GOOGLE_AUTH,121,0,0,0,2,3,0
PERSONAL_PROJECTS,16,0,0,0,6,0,0
SIGNUP,79,1,0,0,3,0,1
GUEST_INVITE,10,0,0,1,5,0,1
GUEST_INVITE,55,1,0,1,1,0,0
ORG_INVITE,3,1,1,1,4,0,0
PERSONAL_PROJECTS,1,1,0,0,0,0,0
SIGNUP_GOOGLE_AUTH,398,1,1,0,6,1,0
SIGNUP_GOOGLE_AUTH,316,0,0,0,5,0,0
ORG_INVITE,336,0,0,1,0,0,0
SIGNUP_GOOGLE_AUTH,142,1,1,0,6,0,1
PERSONAL_PROJECTS,20,0,0,0,0,1,0
ORG_INVITE,75,1,0,1,4,0,0
ORG_INVITE,3,1,0,1,5,0,0
GUEST_INVITE,17,0,0,1,2,0,0
SIGNUP_GOOGLE_AUTH,269,0,0,0,5,0,1
SIGNUP,135,1,1,0,0,0,1
ORG_INVITE,147,0,0,1,3,0,0
SIGNUP,17,0,0,0,2,0,0
SIGNUP,200,0,0,0,1,0,0
PERSONAL_PROJECTS,211,0,0,0,3,0,0
ORG_INVITE,1,1,0,1,3,3,0
SIGNUP_GOOGLE_AUTH,131,0,0,0,0,0,0
PERSONAL_PROJECTS,47,0,0,0,3,0,0
ORG_INVITE,18,0,0,1,5,0,0
SIGNUP,122,0,0,0,5,0,0
SIGNUP,382,0,0,0,2,2,1
ORG_INVITE,69,0,0,1,5,0,1
ORG_INVITE,0,1,1,1,6,0,0
PERSONAL_PROJECTS,141,0,0,0,1,0,0
GUEST_INVITE,178,0,0,1,3,0,0
SIGNUP_GOOGLE_AUTH,365,0,0,0,3,0,0
ORG_INVITE,188,0,0,1,3,0,0
PERSONAL_PROJECTS,139,0,0,0,6,0,0
GUEST_INVITE,144,0,0,1,5,0,0
GUEST_INVITE,62,1,0,1,2,0,0
SIGNUP_GOOGLE_AUTH,275,0,0,0,3,2,0
GUEST_INVITE,15,0,0,1,3,0,0
ORG_INVITE,335,1,0,1,0,0,0
GUEST_INVITE,7,0,0,1,6,0,0
SIGNUP,45,0,0,0,2,0,0
PERSONAL_PROJECTS,373,0,0,0,5,4,0
SIGNUP_GOOGLE_AUTH,343,1,0,0,3,0,0
GUEST_INVITE,64,0,0,1,6,0,0
SIGNUP_GOOGLE_AUTH,109,0,0,0,5,0,0
SIGNUP,200,1,0,0,0,0,0
GUEST_INVITE,2,1,1,1,2,0,1
SIGNUP_GOOGLE_AUTH,61,0,0,0,5,0,0
ORG_INVITE,231,0,0,1,5,1,0
PERSONAL_PROJECTS,0,0,0,0,3,1,0
ORG_INVITE,16,0,0,1,4,0,0
GUEST_INVITE,2,0,0,1,0,0,0
GUEST_INVITE,338,0,0,1,2,0,1
PERSONAL_PROJECTS,311,1,1,0,1,4,0
PERSONAL_PROJECTS,340,1,1,0,5,0,0
SIGNUP_GOOGLE_AUTH,334,0,0,0,4,1,0
SIGNUP,163,0,0,0,5,0,1
ORG_INVITE,2,1,0,1,4,0,0
SIGNUP,9,1,0,0,3,0,0
SIGNUP_GOOGLE_AUTH,302,0,0,0,6,0,0
SIGNUP,60,0,0,0,3,0,0
GUEST_INVITE,4,0,0,1,0,0,0
ORG_INVITE,156,0,0,1,6,0,0
SIGNUP,17,0,0,0,0,0,0
PERSONAL_PROJECTS,9,0,0,0,3,0,0
SIGNUP_GOOGLE_AUTH,84,0,0,0,1,0,0
PERSONAL_PROJECTS,110,1,1,0,2,0,0
PERSONAL_PROJECTS,285,0,0,0,4,1,0
SIGNUP,1,0,0,0,5,0,1
SIGNUP,380,1,1,0,1,0,0
SIGNUP_GOOGLE_AUTH,8,0,0,0,0,0,0
SIGNUP,148,1,1,0,2,0,0
ORG_INVITE,272,0,0,1,3,1,0
GUEST_INVITE,244,0,0,1,5,0,0
PERSONAL_PROJECTS,275,0,0,0,1,0,0
ORG_INVITE,414,0,0,1,5,0,1
GUEST_INVITE,264,0,0,1,1,0,0
GUEST_INVITE,89,0,1,1,6,1,0
GUEST_INVITE,39,0,0,1,6,0,0
PERSONAL_PROJECTS,237,0,0,0,2,1,0
ORG_INVITE,129,0,0,1,2,0,0
SIGNUP_GOOGLE_AUTH,104,1,0,0,4,6,0
GUEST_INVITE,336,0,0,1,4,0,0
PERSONAL_PROJECTS,336,0,1,0,0,0,0
SIGNUP,346,0,0,0,3,0,0
ORG_INVITE,123,0,0,1,1,1,0
SIGNUP,362,1,0,0,6,0,0
ORG_INVITE,92,0,0,1,3,1,0
SIGNUP,7,0,1,0,6,0,1
GUEST_INVITE,82,0,0,1,5,0,0
PERSONAL_PROJECTS,52,0,0,0,3,0,0
PERSONAL_PROJECTS,282,1,0,0,6,0,0
SIGNUP,152,1,0,0,6,1,0
ORG_INVITE,165,1,1,1,3,0,0
GUEST_INVITE,191,0,0,1,0,6,0
SIGNUP,331,0,0,0,2,0,0
SIGNUP,249,0,0,0,5,0,0
PERSONAL_PROJECTS,338,0,0,0,6,3,0
ORG_INVITE,71,0,0,1,3,0,0
SIGNUP_GOOGLE_AUTH,276,0,0,0,5,0,0
SIGNUP,191,0,0,0,2,0,0
PERSONAL_PROJECTS,160,0,0,0,4,1,0
ORG_INVITE,30,0,0,1,4,1,1
ORG_INVITE,105,0,0,1,0,0,0
GUEST_INVITE,221,0,0,1,3,0,0
SIGNUP,4,1,0,0,0,0,0
ORG_INVITE,9,0,0,1,5,0,1
ORG_INVITE,185,1,1,1,5,0,0
ORG_INVITE,135,1,0,1,0,0,0
GUEST_INVITE,171,0,0,1,5,0,0
ORG_INVITE,39,0,0,1,0,2,0
SIGNUP_GOOGLE_AUTH,130,0,0,0,6,0,0
ORG_INVITE,0,1,1,1,6,0,0
SIGNUP,98,0,0,0,4,8,0
ORG_INVITE,361,0,0,1,1,0,0
ORG_INVITE,136,0,0,1,5,0,0
ORG_INVITE,94,1,0,1,1,0,0
PERSONAL_PROJECTS,192,1,1,0,6,0,0
ORG_INVITE,143,0,0,1,5,0,0
PERSONAL_PROJECTS,164,1,1,0,2,0,0
PERSONAL_PROJECTS,14,0,0,0,1,0,0
ORG_INVITE,413,0,0,1,6,0,0
PERSONAL_PROJECTS,9,0,0,0,0,3,0
ORG_INVITE,58,0,0,1,0,0,1
PERSONAL_PROJECTS,15,0,0,0,4,0,0
GUEST_INVITE,235,1,1,1,4,0,0
PERSONAL_PROJECTS,4,0,0,0,1,0,0
GUEST_INVITE,143,1,1,1,0,1,0
ORG_INVITE,8,1,0,1,5,0,0
SIGNUP_GOOGLE_AUTH,196,0,0,0,5,0,0
PERSONAL_PROJECTS,152,0,0,0,6,0,0
ORG_INVITE,128,0,0,1,4,1,0
GUEST_INVITE,95,1,0,1,2,0,0
GUEST_INVITE,273,0,0,1,6,0,0
GUEST_INVITE,264,1,0,1,4,0,0
SIGNUP,352,0,0,0,1,0,1
SIGNUP,286,0,0,0,0,3,0
ORG_INVITE,17,0,0,1,3,0,0
SIGNUP,327,0,0,0,6,0,0
GUEST_INVITE,9,1,1,1,4,0,0
SIGNUP_GOOGLE_AUTH,31,0,0,0,6,0,0
ORG_INVITE,1,0,0,1,6,2,0
PERSONAL_PROJECTS,200,0,1,0,4,0,0
ORG_INVITE,334,0,0,1,5,0,0
PERSONAL_PROJECTS,5,0,0,0,1,0,0
SIGNUP_GOOGLE_AUTH,394,0,0,0,5,0,0
ORG_INVITE,162,0,1,1,0,0,0
PERSONAL_PROJECTS,365,0,0,0,0,0,0
ORG_INVITE,3,1,0,1,6,0,0
ORG_INVITE,229,0,0,1,5,0,0
GUEST_INVITE,289,0,0,1,1,2,1
ORG_INVITE,381,0,1,1,3,0,0
PERSONAL_PROJECTS,319,0,0,0,3,0,0
SIGNUP_GOOGLE_AUTH,1,0,0,0,4,0,0
ORG_INVITE,205,0,0,1,4,0,0
SIGNUP,165,0,0,0,1,2,1
SIGNUP,130,0,0,0,6,3,0
SIGNUP,320,1,1,0,3,0,0
ORG_INVITE,42,0,0,1,2,0,0
PERSONAL_PROJECTS,249,0,0,0,0,2,0
PERSONAL_PROJECTS,29,0,0,0,2,2,0
ORG_INVITE,222,1,0,1,5,0,0
SIGNUP,13,1,1,0,6,0,0
PERSONAL_PROJECTS,334,0,0,0,0,0,0
PERSONAL_PROJECTS,22,0,0,0,0,0,0
ORG_INVITE,25,1,0,1,1,0,1
GUEST_INVITE,245,0,0,1,4,0,0
ORG_INVITE,9,1,0,1,3,0,1
PERSONAL_PROJECTS,366,0,1,0,2,0,0
ORG_INVITE,262,0,1,1,5,2,0
GUEST_INVITE,9,1,0,1,4,3,0
PERSONAL_PROJECTS,11,0,0,0,4,1,0
GUEST_INVITE,102,0,0,1,5,0,0
GUEST_INVITE,143,1,1,1,3,0,0
SIGNUP,99,1,0,0,4,0,1
PERSONAL_PROJECTS,193,1,1,0,3,1,0
PERSONAL_PROJECTS,336,0,0,0,4,1,1
SIGNUP,271,0,0,0,2,0,1
ORG_INVITE,366,0,0,1,4,2,0
SIGNUP_GOOGLE_AUTH,136,0,0,0,5,0,0
GUEST_INVITE,340,0,0,1,4,0,0
ORG_INVITE,412,0,0,1,1,0,0
GUEST_INVITE,93,0,0,1,3,0,0
SIGNUP,411,0,0,0,3,0,0
ORG_INVITE,88,0,0,1,6,0,1
GUEST_INVITE,382,0,0,1,4,0,0
SIGNUP,22,0,0,0,6,0,0
PERSONAL_PROJECTS,53,0,0,0,3,0,0
ORG_INVITE,141,0,0,1,0,0,1
PERSONAL_PROJECTS,368,0,0,0,3,0,0
PERSONAL_PROJECTS,411,0,0,0,2,1,0
SIGNUP,366,0,0,0,1,0,0
SIGNUP,356,0,0,0,3,1,0
SIGNUP,2,1,0,0,3,1,0
PERSONAL_PROJECTS,1,0,0,0,3,0,0
SIGNUP,179,0,0,0,5,0,0
PERSONAL_PROJECTS,309,0,0,0,4,0,0
ORG_INVITE,52,0,0,1,6,0,1
ORG_INVITE,120,1,1,1,1,0,0
SIGNUP,330,0,0,0,3,0,1
GUEST_INVITE,4,0,0,1,4,0,0
ORG_INVITE,198,0,0,1,3,2,0
GUEST_INVITE,65,0,0,1,5,1,1
ORG_INVITE,296,0,0,1,0,0,0
GUEST_INVITE,55,0,0,1,1,0,0
GUEST_INVITE,68,1,1,1,2,0,0
GUEST_INVITE,33,0,0,1,1,0,0
GUEST_INVITE,36,0,0,1,1,0,1
PERSONAL_PROJECTS,68,0,0,0,6,0,0
SIGNUP_GOOGLE_AUTH,103,0,0,0,6,0,0
SIGNUP,331,0,0,0,5,0,0
ORG_INVITE,339,0,0,1,6,0,1
PERSONAL_PROJECTS,3,0,0,0,5,1,0
ORG_INVITE,0,0,0,1,4,0,0
GUEST_INVITE,98,0,0,1,4,1,1
GUEST_INVITE,231,0,0,1,3,7,1
ORG_INVITE,71,0,0,1,0,0,0
SIGNUP_GOOGLE_AUTH,7,0,0,0,2,1,1
ORG_INVITE,1,1,0,1,5,0,0
SIGNUP,2,0,0,0,6,0,0
ORG_INVITE,18,1,0,1,4,0,0
GUEST_INVITE,1,0,0,1,0,0,0
SIGNUP_GOOGLE_AUTH,75,0,0,0,6,0,0
ORG_INVITE,11,1,0,1,6,0,1
ORG_INVITE,2,0,0,1,3,0,0
PERSONAL_PROJECTS,20,0,0,0,2,0,0
SIGNUP,74,0,0,0,6,0,0
SIGNUP_GOOGLE_AUTH,2,0,0,0,3,0,1
PERSONAL_PROJECTS,242,1,1,0,2,0,0
GUEST_INVITE,9,0,0,1,2,0,0
ORG_INVITE,4,1,0,1,1,0,0
PERSONAL_PROJECTS,224,1,0,0,1,3,0
GUEST_INVITE,1,1,1,1,3,0,0
SIGNUP,4,0,0,0,0,0,0
ORG_INVITE,4,0,0,1,3,0,1
PERSONAL_PROJECTS,68,0,0,0,2,2,0
ORG_INVITE,236,1,0,1,5,0,0
PERSONAL_PROJECTS,4,0,0,0,1,0,0
SIGNUP_GOOGLE_AUTH,184,0,0,0,5,0,0
SIGNUP_GOOGLE_AUTH,172,0,0,0,2,0,0
ORG_INVITE,371,0,0,1,2,0,1
SIGNUP_GOOGLE_AUTH,383,0,0,0,1,0,0
SIGNUP,197,0,0,0,0,0,0
SIGNUP_GOOGLE_AUTH,40,1,1,0,0,0,0
GUEST_INVITE,41,0,0,1,5,0,0
GUEST_INVITE,380,0,0,1,1,1,1
GUEST_INVITE,86,0,0,1,6,0,0
ORG_INVITE,45,0,0,1,4,0,0
SIGNUP,44,0,0,0,3,0,0
ORG_INVITE,186,0,0,1,3,2,0
GUEST_INVITE,405,0,0,1,3,2,0
ORG_INVITE,290,1,1,1,6,0,0
GUEST_INVITE,104,0,0,1,4,0,1
ORG_INVITE,335,1,1,1,4,1,0
ORG_INVITE,104,0,0,1,0,0,0
PERSONAL_PROJECTS,16,0,0,0,4,0,0
PERSONAL_PROJECTS,274,0,0,0,4,2,0
SIGNUP,4,1,0,0,6,0,0
ORG_INVITE,160,0,0,1,4,3,1
PERSONAL_PROJECTS,6,0,0,0,5,0,0
ORG_INVITE,380,0,0,1,2,0,0
PERSONAL_PROJECTS,371,1,0,0,4,0,0
GUEST_INVITE,36,1,1,1,6,0,0
PERSONAL_PROJECTS,169,1,0,0,2,0,0
PERSONAL_PROJECTS,84,1,0,0,4,0,0
PERSONAL_PROJECTS,0,1,1,0,5,0,0
